stop_id,stop_code,stop_name,stop_lon,stop_lat
9400ZZLUTAW2,NA,Totteridge & Whetstone Underground Station,-0.179228,51.63051
9400ZZLUWOP2,NA,Woodside Park Underground Station,-0.185454,51.61787
9400ZZLUWFN2,NA,West Finchley Underground Station,-0.188466,51.60936
9400ZZLUFYC2,NA,Finchley Central Underground Station,-0.192670,51.60094
9400ZZLUEFY2,NA,East Finchley Underground Station,-0.165020,51.58729
9400ZZLUTFP2,NA,Tufnell Park Underground Station,-0.138422,51.55674
9400ZZLUKSH2,NA,Kentish Town Underground Station,-0.140719,51.55029
9400ZZLUCTN3,NA,Camden Town Underground Station,-0.142478,51.53935
9400ZZLUEUS3,NA,Euston Underground Station,-0.132300,51.52834
9400ZZLUKSX5,NA,King's Cross St. Pancras Underground Station,-0.121875,51.53084
9400ZZLUMGT4,NA,Moorgate Underground Station,-0.087786,51.51893
9400ZZLUBNK5,NA,Bank Underground Station,-0.087792,51.51225
9400ZZLUBOR2,NA,Borough Underground Station,-0.093597,51.50094
9400ZZLUEAC4,NA,Elephant & Castle Underground Station,-0.100529,51.49501
9400ZZLUKNG2,NA,Kennington Underground Station,-0.105759,51.48840
9400ZZLUOVL2,NA,Oval Underground Station,-0.112399,51.48178
9400ZZLUSKW2,NA,Stockwell Underground Station,-0.122933,51.47181
9400ZZLUEUS5,NA,Euston Underground Station,-0.134239,51.52819
9400ZZLUWRR2,NA,Warren Street Underground Station,-0.137757,51.52428
9400ZZLUTCR3,NA,Tottenham Court Road Underground Station,-0.130402,51.51590
9400ZZLULSQ2,NA,Leicester Square Underground Station,-0.128577,51.51191
9400ZZLUCHX5,NA,Charing Cross Underground Station,-0.125592,51.50880
9400ZZLUEMB6,NA,Embankment Underground Station,-0.122541,51.50729
9400ZZLUGGN2,NA,Golders Green Underground Station,-0.194003,51.57244
9400ZZLUHTD2,NA,Hampstead Underground Station,-0.177464,51.55624
9400ZZLUBZP2,NA,Belsize Park Underground Station,-0.164783,51.55053
9400ZZLUCTN4,NA,Camden Town Underground Station,-0.142972,51.53926
9400ZZLUHR51,NA,Heathrow Terminal 5 Underground Station,-0.490490,51.47001
9400ZZLUHRC1,NA,Heathrow Terminals 2 & 3 Underground Station,-0.452334,51.47133
9400ZZLUHNX1,NA,Hatton Cross Underground Station,-0.423607,51.46639
9400ZZLUHWT1,NA,Hounslow West Underground Station,-0.385754,51.47342
9400ZZLUHWC1,NA,Hounslow Central Underground Station,-0.366203,51.47134
9400ZZLUHWE1,NA,Hounslow East Underground Station,-0.356145,51.47354
9400ZZLUOSY1,NA,Osterley Underground Station,-0.351812,51.48150
9400ZZLUBOS1,NA,Boston Manor Underground Station,-0.324665,51.49564
9400ZZLUNFD1,NA,Northfields Underground Station,-0.313468,51.49964
9400ZZLUSEA1,NA,South Ealing Underground Station,-0.307420,51.50110
9400ZZLUACT4,NA,Acton Town Underground Station,-0.279853,51.50276
9400ZZLUTNG1,NA,Turnham Green Underground Station,-0.254622,51.49527
9400ZZLUHSD4,NA,Hammersmith (Dist&Picc Line) Underground Station,-0.223934,51.49239
9400ZZLUBSC3,NA,Barons Court Underground Station,-0.213999,51.49041
9400ZZLUECT3,NA,Earl's Court Underground Station,-0.193752,51.49172
9400ZZLUGTR4,NA,Gloucester Road Underground Station,-0.183207,51.49426
9400ZZLUSKS2,NA,South Kensington Underground Station,-0.173363,51.49402
9400ZZLUKNB1,NA,Knightsbridge Underground Station,-0.161179,51.50146
9400ZZLUHPC1,NA,Hyde Park Corner Underground Station,-0.153129,51.50279
9400ZZLUGPK4,NA,Green Park Underground Station,-0.141930,51.50712
9400ZZLUPCC3,NA,Piccadilly Circus Underground Station,-0.135495,51.50944
9400ZZLULSQ3,NA,Leicester Square Underground Station,-0.127667,51.51160
9400ZZLUCGN1,NA,Covent Garden Underground Station,-0.124380,51.51304
9400ZZLUHBN3,NA,Holborn Underground Station,-0.120244,51.51759
9400ZZLURSQ1,NA,Russell Square Underground Station,-0.124399,51.52346
9400ZZLUKSX6,NA,King's Cross St. Pancras Underground Station,-0.123010,51.53129
9400ZZLUCAR1,NA,Caledonian Road Underground Station,-0.118613,51.54875
9400ZZLUHWY1,NA,Holloway Road Underground Station,-0.113350,51.55291
9400ZZLUASL1,NA,Arsenal Underground Station,-0.107903,51.55868
9400ZZLUFPK1,NA,Finsbury Park Underground Station,-0.106036,51.56439
9400ZZLUMRH1,NA,Manor House Underground Station,-0.096440,51.57028
9400ZZLUTPN1,NA,Turnpike Lane Underground Station,-0.102890,51.59005
9400ZZLUWOG1,NA,Wood Green Underground Station,-0.110090,51.59744
9400ZZLUBDS1,NA,Bounds Green Underground Station,-0.124617,51.60688
9400ZZLUASG1,NA,Arnos Grove Underground Station,-0.133068,51.61630
9400ZZLUSGT1,NA,Southgate Underground Station,-0.127720,51.63218
9400ZZLUOAK1,NA,Oakwood Underground Station,-0.131418,51.64734
9400ZZLUCKS1,NA,Cockfosters Underground Station,-0.149056,51.65151
9400ZZLUHR41,NA,Heathrow Terminal 4 Underground Station,-0.445863,51.45836
9400ZZLUUXB1,NA,Uxbridge Underground Station,-0.477191,51.54681
9400ZZLUHGD1,NA,Hillingdon Underground Station,-0.450409,51.55359
9400ZZLUICK1,NA,Ickenham Underground Station,-0.442225,51.56177
9400ZZLURSP1,NA,Ruislip Underground Station,-0.421537,51.57137
9400ZZLURSM1,NA,Ruislip Manor Underground Station,-0.412215,51.57344
9400ZZLUEAE1,NA,Eastcote Underground Station,-0.396519,51.57659
9400ZZLURYL2,NA,Rayners Lane Underground Station,-0.371372,51.57516
9400ZZLUSHH1,NA,South Harrow Underground Station,-0.352332,51.56453
9400ZZLUSUH1,NA,Sudbury Hill Underground Station,-0.336951,51.55704
9400ZZLUSUT2,NA,Sudbury Town Underground Station,-0.315689,51.55076
9400ZZLUALP1,NA,Alperton Underground Station,-0.299837,51.54072
9400ZZLUPKR1,NA,Park Royal Underground Station,-0.284058,51.52660
9400ZZLUNEN1,NA,North Ealing Underground Station,-0.288395,51.51782
9400ZZLUECM1,NA,Ealing Common Underground Station,-0.288213,51.51000
9400ZZLUFPK2,NA,Finsbury Park Underground Station,-0.105749,51.56436
9400ZZLUASL2,NA,Arsenal Underground Station,-0.107931,51.55870
9400ZZLUKSX7,NA,King's Cross St. Pancras Underground Station,-0.123007,51.53136
9400ZZLURSQ2,NA,Russell Square Underground Station,-0.124358,51.52340
9400ZZLUHBN4,NA,Holborn Underground Station,-0.120204,51.51751
9400ZZLUCGN2,NA,Covent Garden Underground Station,-0.124336,51.51306
9400ZZLULSQ4,NA,Leicester Square Underground Station,-0.127609,51.51162
9400ZZLUPCC4,NA,Piccadilly Circus Underground Station,-0.134926,51.50959
9400ZZLUKNB2,NA,Knightsbridge Underground Station,-0.161235,51.50150
9400ZZLUSKS3,NA,South Kensington Underground Station,-0.173262,51.49402
9400ZZLUGTR5,NA,Gloucester Road Underground Station,-0.183079,51.49423
9400ZZLUECT4,NA,Earl's Court Underground Station,-0.193663,51.49178
9400ZZLUBSC4,NA,Barons Court Underground Station,-0.213884,51.49040
9400ZZLUHSD3,NA,Hammersmith (Dist&Picc Line) Underground Station,-0.223975,51.49242
9400ZZLUTNG2,NA,Turnham Green Underground Station,-0.254550,51.49527
9400ZZLUACT3,NA,Acton Town Underground Station,-0.279924,51.50281
9400ZZLUSEA2,NA,South Ealing Underground Station,-0.307364,51.50108
9400ZZLUNFD2,NA,Northfields Underground Station,-0.313381,51.49967
9400ZZLUBOS2,NA,Boston Manor Underground Station,-0.324724,51.49560
9400ZZLUOSY2,NA,Osterley Underground Station,-0.351843,51.48145
9400ZZLUHWE2,NA,Hounslow East Underground Station,-0.356057,51.47360
9400ZZLUHRC2,NA,Heathrow Terminals 1-2-3 Underground Station,-0.452290,51.47135
9400ZZLUECM2,NA,Ealing Common Underground Station,-0.288185,51.50996
9400ZZLUNEN2,NA,North Ealing Underground Station,-0.288454,51.51779
9400ZZLUPKR2,NA,Park Royal Underground Station,-0.284032,51.52652
9400ZZLUALP2,NA,Alperton Underground Station,-0.299708,51.54068
9400ZZLUSUT1,NA,Sudbury Town Underground Station,-0.315774,51.55080
9400ZZLUSUH2,NA,Sudbury Hill Underground Station,-0.336837,51.55700
9400ZZLUSHH2,NA,South Harrow Underground Station,-0.352277,51.56447
9400ZZLURYL1,NA,Rayners Lane Underground Station,-0.371458,51.57518
9400ZZLUEAE2,NA,Eastcote Underground Station,-0.396576,51.57659
9400ZZLURSM2,NA,Ruislip Manor Underground Station,-0.412113,51.57346
9400ZZLURSP2,NA,Ruislip Underground Station,-0.421420,51.57139
9400ZZLUICK2,NA,Ickenham Underground Station,-0.442256,51.56172
9400ZZLUHGD2,NA,Hillingdon Underground Station,-0.450380,51.55360
9400ZZLURVP1,NA,Ravenscourt Park Underground Station,-0.235924,51.49413
9400ZZLUEBY1,NA,Ealing Broadway Underground Station,-0.301493,51.51521
9400ZZLUWTA1,NA,West Acton Underground Station,-0.280641,51.51819
9400ZZLUNAN1,NA,North Acton Underground Station,-0.259739,51.52357
9400ZZLUEAN1,NA,East Acton Underground Station,-0.247877,51.51712
9400ZZLUWCY1,NA,White City Underground Station,-0.224022,51.51199
9400ZZLUSBC1,NA,Shepherd's Bush (Central) Underground Station,-0.218129,51.50456
9400ZZLUHPK1,NA,Holland Park Underground Station,-0.205751,51.50715
9400ZZLUNHG1,NA,Notting Hill Gate Underground Station,-0.197309,51.50892
9400ZZLUQWY1,NA,Queensway Underground Station,-0.187209,51.51031
9400ZZLULGT1,NA,Lancaster Gate Underground Station,-0.174685,51.51177
9400ZZLUMBA1,NA,Marble Arch Underground Station,-0.157606,51.51359
9400ZZLUBND1,NA,Bond Street Underground Station,-0.149444,51.51442
9400ZZLUOXC1,NA,Oxford Circus Underground Station,-0.141363,51.51538
9400ZZLUTCR1,NA,Tottenham Court Road Underground Station,-0.131549,51.51641
9400ZZLUHBN1,NA,Holborn Underground Station,-0.119504,51.51771
9400ZZLUCHL1,NA,Chancery Lane Underground Station,-0.112143,51.51831
9400ZZLUSPU1,NA,St. Paul's Underground Station,-0.098321,51.51517
9400ZZLUBNK1,NA,Bank Underground Station,-0.088899,51.51336
9400ZZLULVT1,NA,Liverpool Street Underground Station,-0.082127,51.51811
9400ZZLUBLG1,NA,Bethnal Green Underground Station,-0.054591,51.52705
9400ZZLUMED2,NA,Mile End Underground Station,-0.033457,51.52536
9400ZZLUSTD1,NA,Stratford Underground Station,-0.002311,51.54233
9400ZZLULYN1,NA,Leyton Underground Station,-0.005047,51.55692
9400ZZLULYS1,NA,Leytonstone Underground Station, 0.008209,51.56834
9400ZZLUSNB1,NA,Snaresbrook Underground Station, 0.021441,51.58071
9400ZZLUSWF1,NA,South Woodford Underground Station, 0.027360,51.59175
9400ZZLUWOF1,NA,Woodford Underground Station, 0.033781,51.60718
9400ZZLURVY1,NA,Roding Valley Underground Station, 0.043814,51.61737
9400ZZLUCWL2,NA,Chigwell Underground Station, 0.075458,51.61757
9400ZZLUGGH2,NA,Grange Hill Underground Station, 0.092304,51.61323
9400ZZLUHLT1,NA,Hainault Underground Station, 0.093304,51.60357
9400ZZLUWRP1,NA,West Ruislip Underground Station,-0.437343,51.56951
9400ZZLURSG1,NA,Ruislip Gardens Underground Station,-0.410839,51.56076
9400ZZLUSRP1,NA,South Ruislip Underground Station,-0.399373,51.55697
9400ZZLUNHT1,NA,Northolt Underground Station,-0.369124,51.54846
9400ZZLUGFD1,NA,Greenford Underground Station,-0.345212,51.54247
9400ZZLUPVL1,NA,Perivale Underground Station,-0.322799,51.53667
9400ZZLUHGR1,NA,Hanger Lane Underground Station,-0.293405,51.53033
9400ZZLUBKH1,NA,Buckhurst Hill Underground Station, 0.046729,51.62662
9400ZZLULGN1,NA,Loughton Underground Station, 0.056129,51.64087
9400ZZLUDBN1,NA,Debden Underground Station, 0.084221,51.64519
9400ZZLUTHB1,NA,Theydon Bois Underground Station, 0.103651,51.67148
9400ZZLUEPG1,NA,Epping Underground Station, 0.113774,51.69351
9400ZZLUWSD1,NA,Wanstead Underground Station, 0.029069,51.57566
9400ZZLURBG1,NA,Redbridge Underground Station, 0.046454,51.57619
9400ZZLUGTH1,NA,Gants Hill Underground Station, 0.065017,51.57657
9400ZZLUNBP1,NA,Newbury Park Underground Station, 0.090052,51.57551
9400ZZLUBKE1,NA,Barkingside Underground Station, 0.088662,51.58579
9400ZZLUFLP1,NA,Fairlop Underground Station, 0.091224,51.59602
9400ZZLUTHB2,NA,Theydon Bois Underground Station, 0.103620,51.67143
9400ZZLUDBN2,NA,Debden Underground Station, 0.084030,51.64511
9400ZZLULGN2,NA,Loughton Underground Station, 0.056070,51.64085
9400ZZLUBKH2,NA,Buckhurst Hill Underground Station, 0.046711,51.62655
9400ZZLUWOF2,NA,Woodford Underground Station, 0.033750,51.60713
9400ZZLUSWF2,NA,South Woodford Underground Station, 0.027342,51.59168
9400ZZLUSNB2,NA,Snaresbrook Underground Station, 0.021410,51.58065
9400ZZLULYS2,NA,Leytonstone Underground Station, 0.008351,51.56829
9400ZZLULYN2,NA,Leyton Underground Station,-0.004958,51.55698
9400ZZLUSTD2,NA,Stratford Underground Station,-0.002426,51.54233
9400ZZLUMED1,NA,Mile End Underground Station,-0.033559,51.52533
9400ZZLULVT2,NA,Liverpool Street Underground Station,-0.082201,51.51806
9400ZZLUBNK2,NA,Bank Underground Station,-0.088712,51.51333
9400ZZLUSPU2,NA,St. Paul's Underground Station,-0.098392,51.51519
9400ZZLUCHL2,NA,Chancery Lane Underground Station,-0.112014,51.51829
9400ZZLUHBN2,NA,Holborn Underground Station,-0.119360,51.51771
9400ZZLUTCR4,NA,Tottenham Court Road Underground Station,-0.130401,51.51594
9400ZZLUOXC5,NA,Oxford Circus Underground Station,-0.141248,51.51538
9400ZZLUNHG2,NA,Notting Hill Gate Underground Station,-0.196974,51.50899
9400ZZLUHPK2,NA,Holland Park Underground Station,-0.205749,51.50718
9400ZZLUWCY2,NA,White City Underground Station,-0.224239,51.51197
9400ZZLUEAN2,NA,East Acton Underground Station,-0.247891,51.51714
9400ZZLUNAN2,NA,North Acton Underground Station,-0.259653,51.52355
9400ZZLUGFD2,NA,Greenford Underground Station,-0.345274,51.54235
9400ZZLUWTA2,NA,West Acton Underground Station,-0.280700,51.51816
9400ZZLUGGH1,NA,Grange Hill Underground Station, 0.092290,51.61323
9400ZZLUCWL1,NA,Chigwell Underground Station, 0.075330,51.61760
9400ZZLURVY2,NA,Roding Valley Underground Station, 0.043915,51.61738
9400ZZLUHLT2,NA,Hainault Underground Station, 0.093384,51.60373
9400ZZLUFLP2,NA,Fairlop Underground Station, 0.091207,51.59596
9400ZZLUBKE2,NA,Barkingside Underground Station, 0.088660,51.58575
9400ZZLUNBP2,NA,Newbury Park Underground Station, 0.090055,51.57558
490001243ZA,57669,Romford Station, 0.183431,51.57465
490014452P,75612,Western Road, 0.183369,51.57698
490011659L,58678,Romford Market, 0.182695,51.58037
490010407D,76283,North Street Romford, 0.177885,51.57939
490009721B,55455,Mawney Road (RM1), 0.177281,51.57704
490005628W,49544,Cotleigh Road, 0.174120,51.57461
490011547W,77765,Richards Avenue, 0.168407,51.57405
490009347W,71988,Romford Stadium, 0.163580,51.57451
490008599W,53663,Jutsums Lane, 0.158924,51.57432
490012662W,72469,St Edward's  C of E Academy, 0.152754,51.57355
490007654W,54391,Albany Road Chadwell Heath, 0.145585,51.57270
490014546W,55732,Whalebone Lane, 0.142967,51.57228
490003449W,74399,Farrance Road, 0.139370,51.57190
490009910J,54560,St Chad's Road, 0.135432,51.57163
490008541H,55414,Japan Road, 0.131170,51.57089
490014196D,73778,Wangey Road, 0.128116,51.57009
490010000W,51180,Montpelier Gardens, 0.123749,51.56927
490007578E1,52014,Goodmayes Retail Park, 0.117808,51.56812
490007290W,53061,Goodmayes Tesco, 0.113570,51.56728
490003621D,50753,Goodmayes Road  Goodmayes Stn, 0.108896,51.56637
490014539W,75490,Roman Catholic Ch of St Cedd, 0.105501,51.56566
490005133W,54982,Chester Road (IG3), 0.102352,51.56496
490001246A,51999,Seven Kings, 0.098876,51.56435
490010256W,47430,New Road Seven Kings, 0.094064,51.56327
490011999W,56386,Ilford Fire Station, 0.089475,51.56231
490006990E,48153,Connaught Road Seven Kings, 0.085277,51.56137
490012883W,75835,St Peter & St Paul Church, 0.081898,51.56067
490008469Z,47534,Winston Way Primary School, 0.081073,51.55966
490007657V,51400,Hainault Street, 0.076008,51.55932
490008466Q1,55484,Redbridge Central Library, 0.074311,51.55787
490008465L,74348,Ilford Broadway, 0.070757,51.55838
490004985Y,50934,Chapel Road, 0.067854,51.55736
490006059W,75703,Dersingham Avenue, 0.062033,51.55528
490009219W,71678,Little Ilford Lane, 0.059371,51.55447
490009570W,58701,Rabbits Road, 0.054343,51.55302
490006856W,75888,First Avenue (E12), 0.051367,51.55197
490008189W,57758,High Street North Manor Park, 0.048675,51.55112
490001341G,58921,Woodgrange Park Station, 0.043655,51.54918
490012131W,56337,Shrewsbury Road Romford, 0.039513,51.54816
490008603W,48084,Katherine Road Forest Gate, 0.035167,51.54741
490007497W,56868,Green Street (E7), 0.030294,51.54681
490006917E,57372,Woodgrange Road, 0.026849,51.54653
490012414W,73606,Sprowston Road, 0.022895,51.54615
490006936W,48112,Margery Park Road, 0.019328,51.54541
490003468W,52914,Atherton Leisure Centre, 0.013769,51.54396
490014269W,53599,Water Lane  University Of East London, 0.009900,51.54287
490015114E,49783,Stratford Centre, 0.002618,51.54126
490012904N,56149,Stratford Bus Station,-0.002605,51.54088
490012904B,56233,Stratford Bus Station,-0.001981,51.54095
490015114G,74006,Stratford Centre, 0.001098,51.54079
